"PolicyNumber","FraudFound","Make","AccidentArea","Sex","MaritalStatus","AgeOfPolicyHolder","Fault","VehicleCategory","VehiclePrice","PoliceReportFiled","WitnessPresent","AddressChange.Claim","NumberOfCars"
867,0,"Pontiac","Urban","Male","Single","31 to 35","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
872,0,"Toyota","Urban","Male","Married","36 to 40","Third Party","Sport","30,000 to 39,000","No","No","no change","1 vehicle"
877,0,"Dodge","Urban","Male","Married","41 to 50","Third Party","Sedan","30,000 to 39,000","No","No","no change","1 vehicle"
882,1,"Mazda","Urban","Female","Single","36 to 40","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
887,0,"Pontiac","Urban","Female","Married","36 to 40","Policy Holder","Sedan","30,000 to 39,000","No","No","no change","1 vehicle"
891,1,"Pontiac","Urban","Male","Married","41 to 50","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
892,0,"Honda","Urban","Male","Married","31 to 35","Third Party","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
895,1,"Nisson","Rural","Male","Married","26 to 30","Policy Holder","Sedan","30,000 to 39,000","No","No","no change","1 vehicle"
897,0,"Pontiac","Urban","Male","Single","31 to 35","Policy Holder","Sport","20,000 to 29,000","No","No","no change","1 vehicle"
901,1,"Pontiac","Rural","Male","Single","31 to 35","Policy Holder","Sedan","40,000 to 59,000","No","No","no change","1 vehicle"
902,0,"Toyota","Urban","Male","Married","41 to 50","Third Party","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
906,1,"Toyota","Urban","Male","Married","51 to 65","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
907,0,"Mazda","Urban","Male","Single","31 to 35","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
911,1,"Toyota","Urban","Male","Married","51 to 65","Policy Holder","Sedan","20,000 to 29,000","No","No","1 year","1 vehicle"
912,0,"Mazda","Urban","Female","Married","36 to 40","Policy Holder","Sport","20,000 to 29,000","No","No","no change","1 vehicle"
917,0,"Mazda","Urban","Male","Married","36 to 40","Third Party","Sedan","30,000 to 39,000","No","No","no change","1 vehicle"
922,0,"Honda","Urban","Male","Married","31 to 35","Policy Holder","Sport","20,000 to 29,000","No","No","no change","1 vehicle"
927,0,"Chevrolet","Urban","Female","Married","31 to 35","Third Party","Sport","20,000 to 29,000","No","No","no change","1 vehicle"
932,0,"Pontiac","Rural","Male","Married","51 to 65","Policy Holder","Sedan","less than 20,000","No","No","no change","1 vehicle"
937,1,"Chevrolet","Urban","Male","Married","31 to 35","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
942,0,"Honda","Urban","Male","Single","21 to 25","Policy Holder","Sport","more than 69,000","No","No","no change","1 vehicle"
946,1,"Mazda","Rural","Male","Married","41 to 50","Policy Holder","Sedan","20,000 to 29,000","No","No","4 to 8 years","2 vehicles"
947,0,"Pontiac","Urban","Male","Single","21 to 25","Third Party","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
950,1,"Pontiac","Rural","Male","Married","31 to 35","Policy Holder","Sedan","30,000 to 39,000","No","No","no change","1 vehicle"
952,0,"VW","Urban","Male","Married","36 to 40","Policy Holder","Sport","more than 69,000","No","No","no change","1 vehicle"
955,1,"Honda","Urban","Male","Married","36 to 40","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
957,0,"Mazda","Rural","Male","Married","36 to 40","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
961,1,"Toyota","Urban","Male","Married","31 to 35","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
962,0,"Toyota","Urban","Male","Married","51 to 65","Third Party","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
964,1,"Honda","Rural","Male","Single","21 to 25","Policy Holder","Sport","more than 69,000","No","No","no change","1 vehicle"
967,0,"VW","Urban","Male","Married","51 to 65","Policy Holder","Sedan","more than 69,000","No","No","4 to 8 years","2 vehicles"
968,1,"Pontiac","Urban","Female","Married","over 65","Policy Holder","Sedan","less than 20,000","No","No","no change","1 vehicle"
972,0,"Pontiac","Urban","Male","Married","51 to 65","Third Party","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
977,0,"Mazda","Rural","Male","Married","36 to 40","Third Party","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
982,0,"Accura","Rural","Male","Married","36 to 40","Policy Holder","Sedan","30,000 to 39,000","No","No","no change","1 vehicle"
987,0,"Toyota","Urban","Male","Married","36 to 40","Policy Holder","Sport","20,000 to 29,000","No","No","no change","1 vehicle"
992,0,"Pontiac","Urban","Male","Married","41 to 50","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
997,0,"Pontiac","Urban","Male","Single","26 to 30","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
999,1,"Pontiac","Rural","Male","Married","31 to 35","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
1002,0,"Pontiac","Urban","Female","Single","36 to 40","Third Party","Sport","less than 20,000","No","No","1 year","1 vehicle"
1003,1,"Accura","Urban","Male","Married","over 65","Policy Holder","Sport","30,000 to 39,000","No","No","no change","1 vehicle"
1007,0,"Toyota","Urban","Male","Married","36 to 40","Third Party","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
1012,0,"Honda","Urban","Male","Married","36 to 40","Third Party","Sedan","more than 69,000","No","No","no change","1 vehicle"
1017,0,"Toyota","Urban","Male","Married","41 to 50","Third Party","Sedan","less than 20,000","No","No","no change","1 vehicle"
1021,1,"Mazda","Urban","Male","Married","36 to 40","Third Party","Sedan","30,000 to 39,000","No","No","2 to 3 years","1 vehicle"
1022,0,"Honda","Urban","Male","Married","over 65","Third Party","Sedan","30,000 to 39,000","No","No","no change","1 vehicle"
1024,1,"Accura","Urban","Male","Married","31 to 35","Policy Holder","Sedan","30,000 to 39,000","No","No","no change","1 vehicle"
1027,0,"Mazda","Urban","Male","Single","21 to 25","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
1032,0,"Honda","Urban","Male","Married","31 to 35","Policy Holder","Sport","more than 69,000","No","No","no change","1 vehicle"
1037,0,"Mazda","Urban","Male","Married","41 to 50","Third Party","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
1042,0,"Chevrolet","Rural","Male","Single","31 to 35","Policy Holder","Sedan","30,000 to 39,000","No","No","no change","1 vehicle"
1047,0,"Pontiac","Urban","Female","Married","36 to 40","Policy Holder","Sport","20,000 to 29,000","No","No","no change","1 vehicle"
1052,0,"Toyota","Urban","Male","Married","36 to 40","Policy Holder","Sedan","30,000 to 39,000","No","No","no change","1 vehicle"
1055,1,"Pontiac","Urban","Male","Single","31 to 35","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
1057,0,"Pontiac","Urban","Female","Single","31 to 35","Policy Holder","Sport","20,000 to 29,000","No","No","no change","1 vehicle"
1062,0,"Pontiac","Urban","Male","Single","36 to 40","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
1063,1,"Chevrolet","Urban","Male","Married","36 to 40","Policy Holder","Sedan","30,000 to 39,000","No","No","no change","1 vehicle"
1067,0,"Mazda","Urban","Male","Married","36 to 40","Third Party","Sedan","20,000 to 29,000","No","No","no change","3 to 4"
1072,1,"Honda","Rural","Male","Single","16 to 17","Policy Holder","Sedan","more than 69,000","No","No","2 to 3 years","2 vehicles"
1073,1,"Honda","Urban","Male","Single","16 to 17","Policy Holder","Sedan","more than 69,000","No","No","no change","1 vehicle"
1077,0,"Honda","Urban","Female","Married","51 to 65","Policy Holder","Sport","more than 69,000","No","No","no change","1 vehicle"
1080,1,"Chevrolet","Urban","Male","Married","31 to 35","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
1082,0,"Honda","Urban","Male","Single","31 to 35","Policy Holder","Sedan","less than 20,000","No","No","no change","1 vehicle"
1087,0,"Pontiac","Urban","Male","Married","31 to 35","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
1089,1,"Honda","Rural","Male","Married","31 to 35","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
1092,0,"Toyota","Urban","Male","Married","36 to 40","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
1097,0,"Toyota","Urban","Male","Married","41 to 50","Policy Holder","Sport","20,000 to 29,000","No","No","no change","1 vehicle"
1102,0,"Honda","Urban","Male","Married","51 to 65","Third Party","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
1107,0,"Accura","Urban","Female","Married","36 to 40","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
1112,0,"Toyota","Rural","Male","Married","51 to 65","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
1115,1,"Pontiac","Urban","Male","Married","36 to 40","Policy Holder","Sedan","30,000 to 39,000","No","No","no change","1 vehicle"
1117,0,"Pontiac","Urban","Female","Married","31 to 35","Third Party","Sedan","40,000 to 59,000","No","No","no change","1 vehicle"
1122,0,"Pontiac","Urban","Male","Single","31 to 35","Policy Holder","Sport","20,000 to 29,000","No","No","no change","1 vehicle"
1127,0,"VW","Urban","Male","Single","26 to 30","Policy Holder","Sedan","more than 69,000","No","No","no change","1 vehicle"
1132,0,"Pontiac","Urban","Female","Married","36 to 40","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
1137,0,"Mazda","Urban","Male","Single","31 to 35","Policy Holder","Sport","20,000 to 29,000","No","No","no change","1 vehicle"
1142,0,"Honda","Urban","Male","Single","36 to 40","Policy Holder","Sport","30,000 to 39,000","No","No","no change","1 vehicle"
1147,0,"Chevrolet","Urban","Male","Married","36 to 40","Policy Holder","Utility","more than 69,000","No","No","no change","1 vehicle"
1148,1,"Honda","Urban","Male","Married","36 to 40","Policy Holder","Sedan","30,000 to 39,000","No","No","no change","1 vehicle"
1152,0,"Chevrolet","Urban","Male","Married","36 to 40","Policy Holder","Sport","40,000 to 59,000","No","No","no change","1 vehicle"
1157,0,"Mazda","Urban","Male","Married","31 to 35","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
1162,0,"Chevrolet","Urban","Male","Married","41 to 50","Policy Holder","Sport","40,000 to 59,000","No","No","no change","1 vehicle"
1167,0,"Pontiac","Urban","Male","Single","31 to 35","Third Party","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
1168,1,"Toyota","Urban","Male","Married","31 to 35","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
1172,0,"Chevrolet","Urban","Male","Single","31 to 35","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
1177,0,"Pontiac","Rural","Male","Married","41 to 50","Policy Holder","Sedan","20,000 to 29,000","No","No","4 to 8 years","2 vehicles"
1182,0,"Mazda","Urban","Male","Married","over 65","Policy Holder","Sedan","30,000 to 39,000","No","No","no change","1 vehicle"
1183,1,"Mazda","Urban","Male","Single","21 to 25","Policy Holder","Sport","more than 69,000","No","No","no change","1 vehicle"
1187,0,"Ford","Urban","Male","Married","31 to 35","Policy Holder","Utility","more than 69,000","No","No","no change","1 vehicle"
1192,1,"Toyota","Urban","Male","Married","41 to 50","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
1197,0,"Ford","Urban","Male","Married","over 65","Policy Holder","Sedan","40,000 to 59,000","No","No","no change","1 vehicle"
1200,1,"Pontiac","Rural","Male","Single","31 to 35","Policy Holder","Sedan","30,000 to 39,000","No","No","no change","1 vehicle"
1202,0,"Honda","Urban","Male","Married","36 to 40","Policy Holder","Sport","20,000 to 29,000","No","No","no change","1 vehicle"
1207,0,"Toyota","Urban","Male","Single","26 to 30","Policy Holder","Sport","20,000 to 29,000","No","No","no change","1 vehicle"
1212,0,"Honda","Urban","Male","Married","31 to 35","Policy Holder","Sport","20,000 to 29,000","No","No","no change","1 vehicle"
1217,0,"Pontiac","Urban","Male","Single","26 to 30","Policy Holder","Sedan","30,000 to 39,000","No","No","no change","1 vehicle"
1222,0,"Mazda","Urban","Male","Single","31 to 35","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
1224,1,"Mazda","Urban","Male","Married","51 to 65","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
1227,0,"Ford","Urban","Male","Married","51 to 65","Third Party","Sedan","40,000 to 59,000","No","No","no change","1 vehicle"
1232,1,"Mazda","Urban","Male","Married","41 to 50","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
1237,0,"Pontiac","Urban","Male","Married","36 to 40","Third Party","Sedan","30,000 to 39,000","No","No","no change","1 vehicle"
1242,0,"Toyota","Urban","Male","Married","51 to 65","Third Party","Sedan","less than 20,000","No","No","no change","1 vehicle"
1247,0,"Toyota","Urban","Male","Married","36 to 40","Third Party","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
1252,0,"Pontiac","Urban","Male","Single","31 to 35","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
1257,0,"Honda","Urban","Male","Single","16 to 17","Third Party","Sedan","more than 69,000","No","No","no change","1 vehicle"
1262,0,"Pontiac","Urban","Male","Married","36 to 40","Third Party","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
1267,0,"Toyota","Urban","Male","Single","26 to 30","Third Party","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
1272,0,"Pontiac","Urban","Male","Single","21 to 25","Third Party","Sedan","30,000 to 39,000","No","No","no change","3 to 4"
1277,0,"Toyota","Urban","Male","Single","31 to 35","Third Party","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
1282,0,"Mazda","Urban","Male","Single","26 to 30","Policy Holder","Sport","30,000 to 39,000","No","No","no change","1 vehicle"
1287,0,"Pontiac","Urban","Male","Married","36 to 40","Policy Holder","Utility","40,000 to 59,000","No","No","no change","1 vehicle"
1292,0,"Toyota","Urban","Male","Married","31 to 35","Third Party","Sport","20,000 to 29,000","No","No","no change","1 vehicle"
1297,0,"Pontiac","Urban","Male","Married","41 to 50","Policy Holder","Utility","40,000 to 59,000","No","No","no change","1 vehicle"
1302,0,"Mazda","Urban","Male","Married","41 to 50","Policy Holder","Sport","20,000 to 29,000","No","No","no change","1 vehicle"
1307,0,"Mazda","Urban","Male","Married","36 to 40","Third Party","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
1312,0,"Ford","Urban","Female","Single","41 to 50","Policy Holder","Sport","30,000 to 39,000","No","No","no change","1 vehicle"
1317,0,"Chevrolet","Urban","Male","Single","31 to 35","Policy Holder","Sedan","20,000 to 29,000","Yes","No","no change","1 vehicle"
1322,0,"Honda","Urban","Male","Married","31 to 35","Policy Holder","Sport","20,000 to 29,000","No","No","no change","1 vehicle"
1327,0,"Pontiac","Urban","Male","Married","41 to 50","Policy Holder","Sedan","30,000 to 39,000","No","No","2 to 3 years","1 vehicle"
1332,0,"Chevrolet","Urban","Male","Married","51 to 65","Policy Holder","Sedan","30,000 to 39,000","No","No","no change","1 vehicle"
1337,0,"Pontiac","Rural","Female","Married","31 to 35","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
1339,1,"Honda","Urban","Male","Single","31 to 35","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
1342,0,"Toyota","Urban","Male","Married","36 to 40","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
1347,0,"Chevrolet","Urban","Male","Married","51 to 65","Policy Holder","Sedan","more than 69,000","No","No","no change","1 vehicle"
1352,0,"Chevrolet","Urban","Female","Married","31 to 35","Third Party","Sport","30,000 to 39,000","No","No","no change","1 vehicle"
1357,0,"Toyota","Urban","Female","Married","41 to 50","Policy Holder","Sedan","less than 20,000","No","No","no change","1 vehicle"
1362,0,"Mazda","Urban","Male","Married","41 to 50","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
1367,0,"Mazda","Urban","Male","Married","36 to 40","Third Party","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
